timestamp,available_date,kupah,profession,doctor_name,address,days_diff,city
2026-07-30 13:01:20,2026-08-11,clalit,אורתופדיה,"ד""ר הלר אייל","דרך משה דיין 147, תל אביב יפו",12.0,תל אביב יפו
2026-07-30 13:01:20,2026-08-14,clalit,אורתופדיה,"ד""ר צרפתי ירון","אליהו ברלין 13, תל אביב יפו",15.0,תל אביב יפו
2026-07-30 13:01:20,2026-08-16,clalit,אורתופדיה,"ד""ר אשכול זאב","אבן גבירול 124, תל אביב יפו",17.0,תל אביב יפו
2026-07-30 13:01:20,2026-08-16,clalit,אורתופדיה,"ד""ר סודיה דן","שדרות ישראל גורי 39, תל אביב יפו",17.0,תל אביב יפו
2026-07-30 13:01:20,2026-08-17,clalit,אורתופדיה,"ד""ר לשינר ויאצ'סלב","שדרות יד לבנים 35, תל אביב יפו",18.0,תל אביב יפו
2026-07-30 13:01:20,2026-08-18,clalit,אורתופדיה,"ד""ר פקטור שי","וייצמן 14, תל אביב יפו",19.0,תל אביב יפו
2026-07-30 13:01:21,2026-08-19,clalit,אורתופדיה,"ד""ר אלמליח שירן","אבן גבירול 124, תל אביב יפו",20.0,תל אביב יפו
2026-07-30 13:01:21,2026-08-19,clalit,אורתופדיה,"רופא בי""ח 2","אבן גבירול 124, תל אביב יפו",20.0,תל אביב יפו
2026-07-30 13:01:21,2026-08-19,clalit,אורתופדיה,"רופא בי""ח 1","אבן גבירול 124, תל אביב יפו",20.0,תל אביב יפו
2026-07-30 13:01:21,2026-08-20,clalit,אורתופדיה,"ד""ר אמזלג ניסן","אבן גבירול 124, תל אביב יפו",21.0,תל אביב יפו
2026-07-30 13:01:21,2026-08-23,clalit,אורתופדיה,"ד""ר גרייף נדב","מנורת המאור 3, תל אביב יפו",24.0,תל אביב יפו
2026-07-30 13:01:21,2026-08-24,clalit,אורתופדיה,"ד""ר אשכול זאב","אהרון בקר 8, תל אביב יפו",25.0,תל אביב יפו
2026-07-30 13:01:21,2026-08-24,clalit,אורתופדיה,"ד""ר גרייף נדב","שקד 11, תל אביב יפו",25.0,תל אביב יפו
2026-07-30 13:01:22,2026-08-25,clalit,אורתופדיה,"ד""ר פורטנוי ליטל","אבן גבירול 124, תל אביב יפו",26.0,תל אביב יפו
2026-07-30 13:01:22,2026-08-30,clalit,אורתופדיה,"ד""ר ניימן מאור","אבן גבירול 124, תל אביב יפו",31.0,תל אביב יפו
2026-07-30 13:01:22,2026-08-30,clalit,אורתופדיה,"ד""ר בדיר עבדול עז","אהרון בקר 8, תל אביב יפו",31.0,תל אביב יפו
2026-07-30 13:01:22,2026-09-01,clalit,אורתופדיה,"ד""ר הוים קירסטין","אבן גבירול 124, תל אביב יפו",33.0,תל אביב יפו
2026-07-30 13:01:22,2026-09-02,clalit,אורתופדיה,"ד""ר אפרימה בן","הרטוב 5, תל אביב יפו",34.0,תל אביב יפו
2026-07-30 13:01:22,2026-09-03,clalit,אורתופדיה,"ד""ר קוטוב קונסטנטי","התקומה 23, תל אביב יפו",35.0,תל אביב יפו
2026-07-30 13:01:22,2026-09-07,clalit,אורתופדיה,"רופא בי""ח 3","אבן גבירול 124, תל אביב יפו",39.0,תל אביב יפו
2026-07-30 13:01:23,,clalit,אורתופדיה,פרופ' ורשבסקי יניב,"וייצמן 14, תל אביב יפו",,תל אביב יפו
2026-07-30 13:01:23,,clalit,יעוץ אורתופדי,"ד""ר נחום ערד גלית","אבן גבירול 124, תל אביב יפו",,תל אביב יפו
2026-07-30 13:01:23,2026-08-02,clalit,אורתופדיה,"ד""ר איזק ג'ורג' ג","רפאל איתן 4, חולון",3.0,חולון
2026-07-30 13:01:23,2026-08-05,clalit,אורתופדיה,"ד""ר זמירו עיסאם","אל קודס 50, טירה",6.0,טירה
2026-07-30 13:01:23,2026-08-05,clalit,אורתופדיה,"ד""ר המיד שרים","טארק עבד אל חי, טירה",6.0,טירה
2026-07-30 13:01:23,2026-08-12,clalit,אורתופדיה,"ד""ר שפי מיכאל","הרב ניסנבאום 33, בת ים",13.0,בת ים
2026-07-30 13:01:23,2026-08-13,clalit,אורתופדיה,"ד""ר איזק ג'ורג' ג","הרב ניסנבאום 33, בת ים",14.0,בת ים
2026-07-30 13:01:24,2026-08-13,clalit,אורתופדיה,"רופא בי""ח 1","הרב ניסנבאום 33, בת ים",14.0,בת ים
2026-07-30 13:01:24,2026-08-13,clalit,אורתופדיה,"רופא בי""ח 2","הרב ניסנבאום 33, בת ים",14.0,בת ים
