scraped_at,spec_code,spec_name,search_city,facet_type,facet_value,count
2026-07-30T16:51:10,58,אורתופדיה,א שויוח,gender,גבר,47
2026-07-30T16:51:10,58,אורתופדיה,א שויוח,visit_type,ביקור במרפאה,49
2026-07-30T16:51:10,58,אורתופדיה,א שויוח,language,אנגלית,7
2026-07-30T16:51:10,58,אורתופדיה,א שויוח,language,עברית,12
2026-07-30T16:51:10,58,אורתופדיה,א שויוח,language,ערבית,6
2026-07-30T16:51:10,58,אורתופדיה,א שויוח,language,צרפתית,1
2026-07-30T16:51:10,58,אורתופדיה,א שויוח,language,רוסית,3
2026-07-30T16:51:19,58,אורתופדיה,אבו קורינאת,gender,גבר,36
2026-07-30T16:51:19,58,אורתופדיה,אבו קורינאת,gender,אישה,2
2026-07-30T16:51:19,58,אורתופדיה,אבו קורינאת,visit_type,ביקור במרפאה,43
2026-07-30T16:51:19,58,אורתופדיה,אבו קורינאת,language,עברית,1
2026-07-30T16:51:19,58,אורתופדיה,אבו קורינאת,language,רוסית,1
2026-07-30T16:51:31,58,אורתופדיה,אוהלו,gender,גבר,97
2026-07-30T16:51:31,58,אורתופדיה,אוהלו,visit_type,ביקור במרפאה,98
2026-07-30T16:51:31,58,אורתופדיה,אוהלו,visit_type,שיחת טלפון,1
2026-07-30T16:51:31,58,אורתופדיה,אוהלו,language,איטלקית,1
2026-07-30T16:51:31,58,אורתופדיה,אוהלו,language,אנגלית,9
2026-07-30T16:51:31,58,אורתופדיה,אוהלו,language,עברית,12
2026-07-30T16:51:31,58,אורתופדיה,אוהלו,language,ערבית,5
2026-07-30T16:51:31,58,אורתופדיה,אוהלו,language,רוסית,6
2026-07-30T16:51:46,58,אורתופדיה,אזור תעשייה נעמן,gender,גבר,113
2026-07-30T16:51:46,58,אורתופדיה,אזור תעשייה נעמן,gender,אישה,2
2026-07-30T16:51:46,58,אורתופדיה,אזור תעשייה נעמן,visit_type,ביקור במרפאה,116
2026-07-30T16:51:46,58,אורתופדיה,אזור תעשייה נעמן,visit_type,שיחת טלפון,2
2026-07-30T16:51:46,58,אורתופדיה,אזור תעשייה נעמן,language,אידיש,1
2026-07-30T16:51:46,58,אורתופדיה,אזור תעשייה נעמן,language,איטלקית,1
2026-07-30T16:51:46,58,אורתופדיה,אזור תעשייה נעמן,language,אנגלית,71
